coder,response_uuid,participant__hashed_id,child_hashed_id,child__age_rounded,child__gender,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_type,trial_num,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,d055d008-c883-4afb-9181-34867c245583,J6RCLG,cDJRBR,720,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_baby_bird_milk.webm,,,,,,gibberish,,Order_3,test_trial,7,agentpatient,ap_drink,baby,drink,milk,bird,The baby drank the milk,agent_ambig,BABY DRINK,BIRD MILK,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,d055d008-c883-4afb-9181-34867c245583,J6RCLG,cDJRBR,720,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_cat_banana_apple.webm,,,,,,gibberish,,Order_3,test_trial,8,agentpatient,ap_eat,cat,eat,banana,apple,The cat ate the banana,patient_ambig,EAT BANANA,CAT APPLE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,bunny,,Order_3,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,BUNNY,y,y,n,n,n,n,n,y,,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,its a car,,Order_3,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,n,n,n,n,n,y,,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,a duck ,,Order_3,test_trial,3,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,DUCKS; [points at screen] SKIP,y,y,n,n,n,n,n,y,,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_bird_juice_milk.webm,,,,,,nothing,,Order_3,test_trial,4,agentpatient,ap_drink,bird,drink,juice,milk,The bird drank the juice,patient_ambig,DRINK JUICE,BIRD MILK,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_dog_cat_apple.webm,,,,,,another movie,,Order_3,test_trial,5,agentpatient,ap_eat,dog,eat,apple,cat,The dog ate the apple,agent_ambig,DOG EAT,CAT APPLE,"ANOTHER MOVIE x6, [fussy]",n,n,n,n,n,n,n,n,fussy,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_3,test_trial,6,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_baby_bird_milk.webm,,,,,,nothing,,Order_3,test_trial,7,agentpatient,ap_drink,baby,drink,milk,bird,The baby drank the milk,agent_ambig,BABY DRINK,BIRD MILK,[fussy],n,n,n,n,n,n,n,n,fussy,
sienna/lia,3f204949-11fa-4368-9e32-609ac00a2812,FEXdY3,dLRK35,720,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_cat_banana_apple.webm,,,,,,nothing,,Order_3,test_trial,8,agentpatient,ap_eat,cat,eat,banana,apple,The cat ate the banana,patient_ambig,EAT BANANA,CAT APPLE,[fussy],n,n,n,n,n,n,n,n,fussy,
