coder,response_uuid,participant__hashed_id,child_hashed_id,child__age_rounded,child__gender,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_type,trial_num,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,e8a0f34a-ab19-4b2c-a58e-914cceb4312d,PDDEZ3,NJKFJ6,690,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,see? a door see,,Order_2,test_trial,8,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,MILK DRINK,BABY JUICE,ITS YOU; [child points at screen] unintelligible; I SEE [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,"frog, bunny",,Order_1,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,"WHATS THIS, WHATS THAT WHATS THAT; THATS A BUNNY; BUNNY",y,y,NA,NA,NA,y,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,car,,Order_1,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,WHATS THIS WHATS THAT; unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,"paint, mess",,Order_1,test_trial,3,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[tries to escape]; WHATS THIS; unintelligible; WHAT HAPPENED x3,n,n,n,n,n,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,snake,,Order_1,test_trial,4,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,WHAT HAPPENED x4; SNAKE x5,n,n,n,n,n,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,dog,,Order_1,test_trial,5,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,DOG,y,y,n,n,n,n,y,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,book,,Order_1,test_trial,6,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,WHAT HAPPENED x2; I DO IT; WHAT HAPPEND x2; BUG X2,n,n,n,n,n,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,bear,,Order_1,test_trial,7,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,WHAT HAPPENED X2; WHATS THAT; WHAT HAPPENED X3; BEAR X2,n,n,n,n,n,n,n,y,,
sienna/lia,bcffceff-acc1-4611-a131-9fd7574532b8,5CGF6G,X2NNSF,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,nothing,,Order_1,test_trial,8,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,WHAT HAPPENED; I DO IT; WHAT HAPPENED X2; unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,itsa cat,,Order_1,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,itsa baby,,Order_1,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,itsa ballball,,Order_1,test_trial,3,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,itsa bird,,Order_1,test_trial,4,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,ITS A BIRD X2,y,y,n,n,n,y,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,"ate the apple, ate the apple, the dog dog ",,Order_1,test_trial,5,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,whered it go? whered it go?,,Order_1,test_trial,6,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,"[fussy, mom says nono word]",n,n,n,n,n,n,n,n,fussy,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,"baby, gibberish, baby",,Order_1,test_trial,7,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,"unintelligible, [mom says nono words], unintelligible",n,n,n,n,n,n,n,y,,
sienna/lia,2ae67e9e-cbf7-4fee-96d8-28726bcaab0f,XJ5ZGX,d6BGL6,690,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,whered it go? whered it go? da puppy,,Order_1,test_trial,8,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,nothing,,Order_4,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,car,,Order_4,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,nothing,,Order_4,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,BIRD [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_dog_cat_apple.webm,,,,,,nothing,,Order_4,test_trial,4,agentpatient,ap_eat,dog,eat,apple,cat,The dog ate the apple,agent_ambig,DOG EAT,CAT APPLE,[presses keyboard] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_bird_juice_milk.webm,,,,,,nothing,,Order_4,test_trial,5,agentpatient,ap_drink,bird,drink,juice,milk,The bird drank the juice,patient_ambig,DRINK JUICE,BIRD MILK,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,nothing,,Order_4,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,UH OH [points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_cat_banana_apple.webm,,,,,,nothing,,Order_4,test_trial,7,agentpatient,ap_eat,cat,eat,banana,apple,The cat ate the banana,patient_ambig,EAT BANANA,CAT APPLE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,6e14be08-7c6c-46c4-aab7-d33e4a1a29b8,TUGAVD,NPNQMV,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_baby_bird_milk.webm,,,,,,nothing,,Order_4,test_trial,8,agentpatient,ap_drink,baby,drink,milk,bird,The baby drank the milk,agent_ambig,BABY DRINK,BIRD MILK,[pressed keyboard] [sibling talks],n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,babble,,Order_4,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,"rrrr, rar rrrrr vrrrrr",,Order_4,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,unintelligible,n,n,NA,NA,NA,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,brrr vrrr ,,Order_4,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_dog_cat_apple.webm,,,,,,rrrrr rrrrr rrrrr ,,Order_4,test_trial,4,agentpatient,ap_eat,dog,eat,apple,cat,The dog ate the apple,agent_ambig,DOG EAT,CAT APPLE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_bird_juice_milk.webm,,,,,,there rrrr babbling there rrrrr,,Order_4,test_trial,5,agentpatient,ap_drink,bird,drink,juice,milk,The bird drank the juice,patient_ambig,DRINK JUICE,BIRD MILK,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,ball rrrr babbling ,,Order_4,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_cat_banana_apple.webm,,,,,,babbling rrr lots of sounds but no words,,Order_4,test_trial,7,agentpatient,ap_eat,cat,eat,banana,apple,The cat ate the banana,patient_ambig,EAT BANANA,CAT APPLE,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,2908b99d-c72a-4938-895b-43244067f49d,AQJFdA,XHCJTN,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_baby_bird_milk.webm,,,,,,babbling there,,Order_4,test_trial,8,agentpatient,ap_drink,baby,drink,milk,bird,The baby drank the milk,agent_ambig,BABY DRINK,BIRD MILK,unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,bunny,,Order_1,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,BUNNY,y,y,NA,NA,NA,y,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,car,,Order_1,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,Red,,Order_1,test_trial,3,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,WENT,n,n,n,n,n,n,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,turn off,,Order_1,test_trial,4,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible; TURN OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,this red,,Order_1,test_trial,5,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,OFF; THIS,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,red,,Order_1,test_trial,6,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible; TURN IT OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,turn off,,Order_1,test_trial,7,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible; OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,6BMY3G,SCF4EB,660,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,turn it off,,Order_1,test_trial,8,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"OFF, OFF; TURN IT OFF",n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,[PARENT DID NOT RESPOND],,Order_1,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,car,,Order_1,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen] CAR CAR; CAR CAR; [reaches for keyboard] unintelligible; CAR,y,y,NA,NA,NA,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,duck happened,,Order_1,test_trial,3,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,DOG HAPPENS,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,duck happened,,Order_1,test_trial,4,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,DUCK HAPPENED; DUCK HAPPENED,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,duck happened cat happened,,Order_1,test_trial,5,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,DUCK HAPPENED; DUCK HAPPENED; [sibling said something about an apple]; THE CAT HAPPENED,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,duck happened,,Order_1,test_trial,6,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,"DUCK HAPPENED; [sibling says, ""I think the bear did.""]",n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,choose,,Order_1,test_trial,7,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,[sibling crying in background] PIPER CRY; [child points at screen] I CLICK TOO I CLICK TOO; [points to the side] TREES;,n,n,n,n,n,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,S6M6WN,5E6MP4,660,m,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,cat happened Sonoma (name of our dog) happened,,Order_1,test_trial,8,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"DUCK HAPPENED [mom says, ""The cat?""] YA [mom says, ""What did the cat do?""] I DON'T KNOW; HAPPENED",n,n,n,n,n,n,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,"""meow""",,Order_4,train_1,1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,MEOW,y,y,NA,NA,NA,y,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,daddy,,Order_4,train_2,2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,"unintelligible; [mom says, ""That's a car, can you say car?""] CAR",y,y,NA,NA,NA,y,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,"""daddy""",,Order_4,test_trial,3,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES,BEAR ROOM,[points at screen] unintelligible; BLUE unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_dog_cat_apple.webm,,,,,,nothing,,Order_4,test_trial,4,agentpatient,ap_eat,dog,eat,apple,cat,The dog ate the apple,agent_ambig,DOG EAT,CAT APPLE,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_bird_juice_milk.webm,,,,,,"""see""",,Order_4,test_trial,5,agentpatient,ap_drink,bird,drink,juice,milk,The bird drank the juice,patient_ambig,DRINK JUICE,BIRD MILK,[points at screen],n,n,n,n,n,n,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,"""ball""",,Order_4,test_trial,6,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,[points at screen] unintelligible,n,n,n,n,n,n,n,y,,
sienna/lia,dc3b77fb-b0c6-4082-88e4-c2fae33fec0b,DQKLQ6,SAY42L,630,f,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_cat_banana_apple.webm,,,,,,"""abby""",,Order_4,test_trial,7,agentpatient,ap_eat,cat,eat,banana,apple,The cat ate the banana,patient_ambig,EAT BANANA,CAT APPLE,HAPPY [points at screen] unintelligible,n,n,n,n,n,n,n,y,,
