coder,response_uuid,child_hashed_id,frame_id,videoShown,audioPlayed,frame_duration_stimuli,frame_duration_respond,frame_duration_transcribe,event0_timestamp,parent_transcription,response_video_file,session_order,trial_num,trial_type,testtrial_type,stimulus_set,stimulus_subject,stimulus_verb,stimulus_object,stimulus_distractor,stimulus_targetutterance,stimulus_condition,informative_entities,uninformative_entities,response_exact_utterance,response_attempted_target,response_included_subject,response_included_verb,response_included_object,response_included_distractor,response_included_informative,response_included_uninformative,include_trial,exclusion_reason,notes_trial
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,car,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,CAR,y,y,NA,NA,NA,y,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,Red,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,WENT,n,n,n,n,n,n,n,y,,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_bird_baby_juice.webm,,,,,,turn off,,Order_1,4,test_trial,agentpatient,ap_drink,bird,drink,juice,baby,The bird drank the juice,agent_ambig,BIRD DRINK,JUICE BABY,unintelligible; TURN OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_dog_apple_banana.webm,,,,,,this red,,Order_1,5,test_trial,agentpatient,ap_eat,dog,eat,apple,banana,The dog ate the apple,patient_ambig,EAT APPLE ,DOG BANANA,OFF; THIS,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_bear_shoes_new.webm,,,,,,red,,Order_1,6,test_trial,commonground,cg_bear,bear,put-on,shoes,room,The bear put on the shoes,commonground,PUT-ON SHOES ,BEAR ROOM,unintelligible; TURN IT OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/patient_baby_milk_juice.webm,,,,,,turn off,,Order_1,7,test_trial,agentpatient,ap_drink,baby,drink,milk,juice,The baby drank the milk,patient_ambig,DRINK MILK ,BABY JUICE,unintelligible; OFF,n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,4c06f484-fa39-4cd0-94e1-d4d6c377c661,SCF4EB,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/agent_cat_dog_banana.webm,,,,,,turn it off,,Order_1,8,test_trial,agentpatient,ap_eat,cat,eat,banana,dog,The cat ate the banana,agent_ambig,CAT EAT,BANANA DOG,"OFF, OFF; TURN IT OFF",n,n,n,n,n,n,n,n,inattentive/fussy,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_bunny.png,,,,,,[PARENT DID NOT RESPOND],,Order_1,1,train_1,NA,train_bunny,bunny,NA,NA,NA,It is a bunny,NA,BUNNY,NA,[NA],n,n,NA,NA,NA,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/img/training_car_red.png,,,,,,car,,Order_1,2,train_2,NA,train_car,car,NA,NA,NA,It is a car,NA,CAR,NA,[points at screen] CAR CAR; CAR CAR; [reaches for keyboard] unintelligible; CAR,y,y,NA,NA,NA,n,n,y,,
sienna/lia,ed7e915d-4e82-49a2-a796-dd338ba10c1b,5E6MP4,,https://raw.githubusercontent.com/mekline/informative_toddlers/master/stimuli/webm/common_ground_duck_ball_new.webm,,,,,,duck happened,,Order_1,3,test_trial,commonground,cg_duck,duck,bounce,ball,lake,The ball bounced by the lake,commonground,BALL BOUNCE,DUCK LAKE,DOG HAPPENS,n,n,n,n,n,n,n,y,,
